Score: 66, seed: final-113, avg: 57.8, std: 5.3
Score: 62, seed: final-106, avg: 57.9, std: 5.3
Score: 49, seed: final-128, avg: 57.8, std: 5.4
Score: 66, seed: final-117, avg: 57.9, std: 5.4
Score: 52, seed: final-119, avg: 57.8, std: 5.4
Score: 55, seed: final-109, avg: 57.8, std: 5.4
Score: 61, seed: final-126, avg: 57.8, std: 5.4
Score: 54, seed: final-112, avg: 57.8, std: 5.3
Score: 60, seed: final-134, avg: 57.8, std: 5.3
Score: 62, seed: final-123, avg: 57.8, std: 5.3
Score: 61, seed: final-125, avg: 57.9, std: 5.3
Score: 54, seed: final-132, avg: 57.8, std: 5.3
Score: 64, seed: final-115, avg: 57.9, std: 5.3
Score: 52, seed: final-118, avg: 57.8, std: 5.3
Score: 54, seed: final-140, avg: 57.8, std: 5.3
Score: 52, seed: final-129, avg: 57.8, std: 5.3
Score: 61, seed: final-131, avg: 57.8, std: 5.3
Score: 47, seed: final-121, avg: 57.7, std: 5.4
Score: 55, seed: final-124, avg: 57.7, std: 5.3
Score: 48, seed: final-138, avg: 57.6, std: 5.4
Score: 61, seed: final-146, avg: 57.6, std: 5.4
Score: 56, seed: final-137, avg: 57.6, std: 5.4
Score: 63, seed: final-127, avg: 57.7, std: 5.4
Score: 56, seed: final-135, avg: 57.6, std: 5.3
Score: 63, seed: final-144, avg: 57.7, std: 5.3
Score: 57, seed: final-130, avg: 57.7, std: 5.3
Score: 56, seed: final-152, avg: 57.7, std: 5.3
Score: 66, seed: final-143, avg: 57.7, std: 5.3
Score: 61, seed: final-133, avg: 57.7, std: 5.3
Score: 53, seed: final-136, avg: 57.7, std: 5.3
Score: 54, seed: final-141, avg: 57.7, std: 5.3
Score: 48, seed: final-158, avg: 57.6, std: 5.3
Score: 57, seed: final-150, avg: 57.6, std: 5.3
Score: 56, seed: final-149, avg: 57.6, std: 5.3
Score: 52, seed: final-164, avg: 57.6, std: 5.3
Score: 56, seed: final-142, avg: 57.6, std: 5.3
Score: 61, seed: final-139, avg: 57.6, std: 5.3
Score: 66, seed: final-147, avg: 57.6, std: 5.3
Score: 56, seed: final-156, avg: 57.6, std: 5.3
Score: 59, seed: final-170, avg: 57.6, std: 5.3
Score: 53, seed: final-155, avg: 57.6, std: 5.3
Score: 51, seed: final-148, avg: 57.6, std: 5.3
Score: 44, seed: final-153, avg: 57.5, std: 5.4
Score: 55, seed: final-162, avg: 57.5, std: 5.4
Score: 61, seed: final-145, avg: 57.5, std: 5.4
Score: 54, seed: final-176, avg: 57.5, std: 5.3
Score: 51, seed: final-161, avg: 57.4, std: 5.4
Score: 47, seed: final-154, avg: 57.4, std: 5.4
Score: 57, seed: final-168, avg: 57.4, std: 5.4
Score: 58, seed: final-151, avg: 57.4, std: 5.4
Score: 66, seed: final-159, avg: 57.4, std: 5.4
Score: 60, seed: final-167, avg: 57.4, std: 5.4
Score: 60, seed: final-182, avg: 57.4, std: 5.4
Score: 42, seed: final-174, avg: 57.4, std: 5.5
Score: 56, seed: final-160, avg: 57.3, std: 5.5
Score: 47, seed: final-157, avg: 57.3, std: 5.5
Score: 62, seed: final-173, avg: 57.3, std: 5.5
Score: 60, seed: final-180, avg: 57.3, std: 5.5
Score: 53, seed: final-188, avg: 57.3, std: 5.5
Score: 59, seed: final-165, avg: 57.3, std: 5.5
Score: 58, seed: final-166, avg: 57.3, std: 5.5
Score: 57, seed: final-163, avg: 57.3, std: 5.4
Score: 52, seed: final-186, avg: 57.3, std: 5.4
Score: 59, seed: final-194, avg: 57.3, std: 5.4
Score: 52, seed: final-179, avg: 57.3, std: 5.4
Score: 61, seed: final-172, avg: 57.3, std: 5.4
Score: 53, seed: final-171, avg: 57.3, std: 5.4
Score: 55, seed: final-169, avg: 57.2, std: 5.4
Score: 62, seed: final-200, avg: 57.3, std: 5.4
Score: 56, seed: final-192, avg: 57.3, std: 5.4
Score: 56, seed: final-206, avg: 57.3, std: 5.4
Score: 50, seed: final-175, avg: 57.2, std: 5.4
Score: 56, seed: final-178, avg: 57.2, std: 5.4
Score: 57, seed: final-177, avg: 57.2, std: 5.3
Score: 53, seed: final-185, avg: 57.2, std: 5.3
Score: 59, seed: final-198, avg: 57.2, std: 5.3
Score: 64, seed: final-212, avg: 57.2, std: 5.3
Score: 61, seed: final-181, avg: 57.3, std: 5.3
Score: 45, seed: final-191, avg: 57.2, std: 5.4
Score: 53, seed: final-204, avg: 57.2, std: 5.4
Score: 64, seed: final-184, avg: 57.2, std: 5.4
Score: 57, seed: final-183, avg: 57.2, std: 5.4
Score: 52, seed: final-210, avg: 57.2, std: 5.4
Score: 56, seed: final-218, avg: 57.2, std: 5.4
Score: 48, seed: final-189, avg: 57.1, std: 5.4
Score: 57, seed: final-197, avg: 57.1, std: 5.4
Score: 56, seed: final-190, avg: 57.1, std: 5.4
Score: 59, seed: final-187, avg: 57.1, std: 5.4
Score: 59, seed: final-216, avg: 57.1, std: 5.3
Score: 57, seed: final-224, avg: 57.1, std: 5.3
Score: 64, seed: final-203, avg: 57.2, std: 5.3
Score: 52, seed: final-196, avg: 57.1, std: 5.3
Score: 63, seed: final-193, avg: 57.2, std: 5.3
Score: 61, seed: final-230, avg: 57.2, std: 5.3
Score: 57, seed: final-222, avg: 57.2, std: 5.3
Score: 54, seed: final-195, avg: 57.2, std: 5.3
Score: 66, seed: final-202, avg: 57.2, std: 5.3
Score: 67, seed: final-199, avg: 57.3, std: 5.4
Score: 52, seed: final-209, avg: 57.2, std: 5.4
Score: 64, seed: final-228, avg: 57.3, std: 5.4
Score: 52, seed: final-236, avg: 57.2, std: 5.4
Score: 43, seed: final-201, avg: 57.2, std: 5.4
Score: 59, seed: final-234, avg: 57.2, std: 5.4
Score: 69, seed: final-205, avg: 57.2, std: 5.5
Score: 61, seed: final-242, avg: 57.3, std: 5.5
Score: 65, seed: final-208, avg: 57.3, std: 5.5
Score: 56, seed: final-215, avg: 57.3, std: 5.5
Score: 58, seed: final-240, avg: 57.3, std: 5.5
Score: 63, seed: final-207, avg: 57.3, std: 5.5
Score: 53, seed: final-211, avg: 57.3, std: 5.5
Score: 52, seed: final-248, avg: 57.3, std: 5.5
Score: 58, seed: final-214, avg: 57.3, std: 5.4
Score: 57, seed: final-221, avg: 57.3, std: 5.4
Score: 61, seed: final-246, avg: 57.3, std: 5.4
Score: 54, seed: final-254, avg: 57.3, std: 5.4
Score: 51, seed: final-217, avg: 57.3, std: 5.4
Score: 61, seed: final-227, avg: 57.3, std: 5.4
Score: 56, seed: final-220, avg: 57.3, std: 5.4
Score: 54, seed: final-213, avg: 57.2, std: 5.4
Score: 60, seed: final-252, avg: 57.3, std: 5.4
Score: 50, seed: final-260, avg: 57.2, std: 5.4
Score: 62, seed: final-226, avg: 57.3, std: 5.4
Score: 59, seed: final-233, avg: 57.3, std: 5.4
Score: 50, seed: final-258, avg: 57.2, std: 5.4
Score: 59, seed: final-223, avg: 57.2, std: 5.4
Score: 54, seed: final-266, avg: 57.2, std: 5.4
Score: 65, seed: final-219, avg: 57.3, std: 5.4
Score: 50, seed: final-264, avg: 57.2, std: 5.4
Score: 51, seed: final-232, avg: 57.2, std: 5.4
Score: 61, seed: final-239, avg: 57.2, std: 5.4
Score: 58, seed: final-272, avg: 57.2, std: 5.4
Score: 57, seed: final-229, avg: 57.2, std: 5.4
Score: 54, seed: final-225, avg: 57.2, std: 5.4
Score: 69, seed: final-270, avg: 57.3, std: 5.4
Score: 50, seed: final-278, avg: 57.2, std: 5.4
Score: 60, seed: final-245, avg: 57.2, std: 5.4
Score: 58, seed: final-238, avg: 57.2, std: 5.4
Score: 50, seed: final-231, avg: 57.2, std: 5.4
Score: 57, seed: final-276, avg: 57.2, std: 5.4
Score: 54, seed: final-284, avg: 57.2, std: 5.4
Score: 42, seed: final-235, avg: 57.1, std: 5.5
Score: 60, seed: final-251, avg: 57.1, std: 5.5
Score: 56, seed: final-244, avg: 57.1, std: 5.4
Score: 63, seed: final-282, avg: 57.2, std: 5.4
Score: 53, seed: final-241, avg: 57.1, std: 5.4
Score: 58, seed: final-237, avg: 57.1, std: 5.4
Score: 64, seed: final-257, avg: 57.2, std: 5.4
Score: 53, seed: final-250, avg: 57.2, std: 5.4
Score: 56, seed: final-288, avg: 57.2, std: 5.4
Score: 60, seed: final-290, avg: 57.2, std: 5.4
Score: 66, seed: final-247, avg: 57.2, std: 5.4
Score: 58, seed: final-243, avg: 57.2, std: 5.4
Score: 56, seed: final-263, avg: 57.2, std: 5.4
Score: 65, seed: final-256, avg: 57.2, std: 5.4
Score: 56, seed: final-294, avg: 57.2, std: 5.4
Score: 38, seed: final-296, avg: 57.2, std: 5.5
Score: 62, seed: final-269, avg: 57.2, std: 5.5
Score: 64, seed: final-300, avg: 57.2, std: 5.5
Score: 59, seed: final-253, avg: 57.2, std: 5.5
Score: 58, seed: final-302, avg: 57.2, std: 5.5
Score: 62, seed: final-262, avg: 57.2, std: 5.5
Score: 51, seed: final-308, avg: 57.2, std: 5.5
Score: 53, seed: final-259, avg: 57.2, std: 5.5
Score: 55, seed: final-275, avg: 57.2, std: 5.5
Score: 60, seed: final-306, avg: 57.2, std: 5.5
Score: 61, seed: final-249, avg: 57.2, std: 5.5
Score: 60, seed: final-314, avg: 57.2, std: 5.5
Score: 55, seed: final-265, avg: 57.2, std: 5.5
Score: 63, seed: final-268, avg: 57.2, std: 5.5
Score: 54, seed: final-312, avg: 57.2, std: 5.5
Score: 60, seed: final-281, avg: 57.2, std: 5.5
Score: 59, seed: final-255, avg: 57.2, std: 5.5
Score: 62, seed: final-320, avg: 57.2, std: 5.5
Score: 52, seed: final-274, avg: 57.2, std: 5.4
Score: 56, seed: final-271, avg: 57.2, std: 5.4
Score: 50, seed: final-287, avg: 57.2, std: 5.4
Score: 58, seed: final-318, avg: 57.2, std: 5.4
Score: 59, seed: final-261, avg: 57.2, std: 5.4
Score: 67, seed: final-326, avg: 57.2, std: 5.5
Score: 58, seed: final-277, avg: 57.2, std: 5.4
Score: 53, seed: final-280, avg: 57.2, std: 5.4
Score: 60, seed: final-324, avg: 57.2, std: 5.4
Score: 57, seed: final-293, avg: 57.2, std: 5.4
Score: 43, seed: final-332, avg: 57.2, std: 5.5
Score: 52, seed: final-267, avg: 57.2, std: 5.5
Score: 56, seed: final-283, avg: 57.2, std: 5.5
Score: 59, seed: final-286, avg: 57.2, std: 5.5
Score: 55, seed: final-330, avg: 57.2, std: 5.4
Score: 63, seed: final-299, avg: 57.2, std: 5.5
Score: 50, seed: final-289, avg: 57.2, std: 5.5
Score: 62, seed: final-273, avg: 57.2, std: 5.5
Score: 51, seed: final-338, avg: 57.2, std: 5.5
Score: 53, seed: final-336, avg: 57.1, std: 5.5
Score: 57, seed: final-292, avg: 57.1, std: 5.4
Score: 49, seed: final-305, avg: 57.1, std: 5.5
Score: 57, seed: final-295, avg: 57.1, std: 5.4
Score: 52, seed: final-279, avg: 57.1, std: 5.4
Score: 57, seed: final-344, avg: 57.1, std: 5.4
Score: 59, seed: final-342, avg: 57.1, std: 5.4
Score: 59, seed: final-298, avg: 57.1, std: 5.4
Score: 66, seed: final-311, avg: 57.1, std: 5.4
Score: 54, seed: final-301, avg: 57.1, std: 5.4
Score: 58, seed: final-350, avg: 57.1, std: 5.4
Score: 55, seed: final-285, avg: 57.1, std: 5.4
Score: 57, seed: final-348, avg: 57.1, std: 5.4
Score: 57, seed: final-317, avg: 57.1, std: 5.4
Score: 59, seed: final-307, avg: 57.1, std: 5.4
Score: 56, seed: final-304, avg: 57.1, std: 5.4
Score: 62, seed: final-356, avg: 57.1, std: 5.4
Score: 55, seed: final-291, avg: 57.1, std: 5.4
Score: 62, seed: final-354, avg: 57.2, std: 5.4
Score: 61, seed: final-313, avg: 57.2, std: 5.4
Score: 54, seed: final-310, avg: 57.2, std: 5.4
Score: 55, seed: final-362, avg: 57.1, std: 5.4
Score: 58, seed: final-323, avg: 57.1, std: 5.3
Score: 55, seed: final-297, avg: 57.1, std: 5.3
Score: 60, seed: final-360, avg: 57.2, std: 5.3
Score: 53, seed: final-319, avg: 57.1, std: 5.3
Score: 54, seed: final-368, avg: 57.1, std: 5.3
Score: 54, seed: final-329, avg: 57.1, std: 5.3
Score: 61, seed: final-316, avg: 57.1, std: 5.3
Score: 49, seed: final-366, avg: 57.1, std: 5.3
Score: 53, seed: final-374, avg: 57.1, std: 5.3
Score: 60, seed: final-335, avg: 57.1, std: 5.3
Score: 59, seed: final-303, avg: 57.1, std: 5.3
Score: 64, seed: final-322, avg: 57.1, std: 5.3
Score: 50, seed: final-372, avg: 57.1, std: 5.3
Score: 64, seed: final-325, avg: 57.1, std: 5.3
Score: 55, seed: final-380, avg: 57.1, std: 5.3
Score: 50, seed: final-341, avg: 57.1, std: 5.3
Score: 56, seed: final-309, avg: 57.1, std: 5.3
Score: 51, seed: final-378, avg: 57.1, std: 5.3
Score: 54, seed: final-328, avg: 57.1, std: 5.3
Score: 49, seed: final-386, avg: 57.0, std: 5.3
Score: 64, seed: final-331, avg: 57.1, std: 5.3
Score: 55, seed: final-315, avg: 57.1, std: 5.3
Score: 62, seed: final-347, avg: 57.1, std: 5.3
Score: 62, seed: final-384, avg: 57.1, std: 5.3
Score: 63, seed: final-392, avg: 57.1, std: 5.3
Score: 61, seed: final-334, avg: 57.1, std: 5.3
Score: 57, seed: final-337, avg: 57.1, std: 5.3
Score: 49, seed: final-390, avg: 57.1, std: 5.3
Score: 61, seed: final-321, avg: 57.1, std: 5.3
Score: 50, seed: final-353, avg: 57.1, std: 5.3
Score: 59, seed: final-398, avg: 57.1, std: 5.3
Score: 55, seed: final-343, avg: 57.1, std: 5.3
Score: 53, seed: final-396, avg: 57.1, std: 5.3
Score: 62, seed: final-340, avg: 57.1, std: 5.3
Score: 54, seed: final-404, avg: 57.1, std: 5.3
Score: 56, seed: final-327, avg: 57.1, std: 5.3
Score: 57, seed: final-359, avg: 57.1, std: 5.3
Score: 56, seed: final-349, avg: 57.1, std: 5.3
Score: 58, seed: final-402, avg: 57.1, std: 5.3
Score: 58, seed: final-346, avg: 57.1, std: 5.3
Score: 61, seed: final-410, avg: 57.1, std: 5.3
Score: 61, seed: final-333, avg: 57.1, std: 5.3
